Faculty,Areas_Topics
Arnone,Libraries and Cultural Informatics ( digital literacy); Libraries and Cultural Informatics ( intersectionality of disability and race)
Banks,"Human-Centered Technology and Design ( human-robot interaction); Where people meet Artificial Intelligence ( disinformation); Where people meet Artificial Intelligence (This includes how people impact the creation of AI solutions, how people and AI collaborate, and how AI changes the way people work, perceive their environment, make decisions, learn, etc. Topics include: the development of algorithms and that data that drives the algorithms, human-robot collaboration)"
Baobao,Human-Centered Technology and Design ( politics of the designs of emerging technologies); Where people meet Artificial Intelligence ( policy)
Bastidas,"Cybersecurity, Privacy & Infrastructure ( mobile networks, IoT); Cybersecurity, Privacy & Infrastructure (serves as the backbone of the information society.  Topics Include: Smart cities); Where people meet Artificial Intelligence ( improving the quality and trustworthiness of AI, workforce development)"
Capano,"Human-Centered Technology and Design ( social justice, digital volunteerism, Open-Source Software Development)"
Chancellor,Libraries and Cultural Informatics ( black experience); Libraries and Cultural Informatics ( digital humanities)
Cheon,"Cybersecurity, Privacy & Infrastructure ( privacy); Human-Centered Technology and Design (Focuses on the role of humans in technology design, implementation, and use. How to avoid dehumanizing users, biases, and unethical practices, while still supporting organizational goals. Topics Include: Critical design); Where people meet Artificial Intelligence ( AI and future of work); Where people meet Artificial Intelligence (This includes how people impact the creation of AI solutions, how people and AI collaborate, and how AI changes the way people work, perceive their environment, make decisions, learn, etc. Topics include: the development of algorithms and that data that drives the algorithms, human-robot collaboration)"
Clark,"Libraries and Cultural Informatics ( information quality, organization and access)"
Clarke,"Cybersecurity, Privacy & Infrastructure ( privacy); Human-Centered Technology and Design (Focuses on the role of humans in technology design, implementation, and use. How to avoid dehumanizing users, biases, and unethical practices, while still supporting organizational goals. Topics Include: Critical design); Libraries and Cultural Informatics ( digital humanities); Libraries and Cultural Informatics ( librarianship as a design profession)"
Crowston,"Computational Social Science ( and broad computational approaches to studying society); Computational Social Science (The iSchool’s distinctive excellence in this area lies in applying advanced computational methods to understand and address important societal and organizational problems. This includes the development of new computational methodologies in the social sciences and their application to pressing social, cultural, and political questions. Topics include: Organization of computational teams); Digital Innovation & Management ( innovation and crowdsourcing); Human-Centered Technology and Design ( social justice, digital volunteerism, Open-Source Software Development); Where people meet Artificial Intelligence ( AI and future of work); Where people meet Artificial Intelligence ( learning)"
Dedrick,"Cybersecurity, Privacy & Infrastructure (serves as the backbone of the information society.  Topics Include: Smart cities); Human-Centered Technology and Design ( social justice, digital volunteerism, Open-Source Software Development)"
Derick,"Cybersecurity, Privacy & Infrastructure ( smart grids)"
Ekbia,Human-Centered Technology and Design ( politics of the designs of emerging technologies); Libraries and Cultural Informatics ( critical/ cultural studies of information); Libraries and Cultural Informatics ( digital humanities); Where people meet Artificial Intelligence ( AI and future of work); Where people meet Artificial Intelligence ( policy)
Erdogan,"Computational Social Science ( data visualizations); Cybersecurity, Privacy & Infrastructure (serves as the backbone of the information society.  Topics Include: Smart cities); Human-Centered Technology and Design ( social justice, digital volunteerism, Open-Source Software Development); Digital Innovation & Management ( crisis management)"
Erickson,"Digital Innovation & Management ( change management); Digital Innovation & Management ( distributed and mobile work); Digital Innovation & Management ( innovation and crowdsourcing); Digital Innovation & Management ( management of information systems); Digital Innovation & Management ( medical informatics); Digital Innovation & Management ( online communities, gig work and platforms); Digital Innovation & Management (Human-technology partnerships play an important role in all sorts of organizations from formal companies to crowdsourced settings. Focuses both on how technology shapes leadership and organizations and how management and organizations shape technology. Topics include: Digital transformation); Where people meet Artificial Intelligence ( AI and future of work)"
Fudge,"Cybersecurity, Privacy & Infrastructure ( mobile networks, IoT); Cybersecurity, Privacy & Infrastructure ( risk management, NEXIS); Where people meet Artificial Intelligence ( improving the quality and trustworthiness of AI, workforce development)"
Gandel,Computational Social Science ( scientific knowledge management); Digital Innovation & Management ( change management)
Gray,Libraries and Cultural Informatics ( black experience); Libraries and Cultural Informatics ( critical/ cultural studies of information); Libraries and Cultural Informatics ( digital humanities); Libraries and Cultural Informatics ( epistemicide and social justice)
Hemsley,Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( data visualizations); Computational Social Science ( social media); Computational Social Science ( social network analysis)
Himmelreich,Human-Centered Technology and Design ( politics of the designs of emerging technologies); Where people meet Artificial Intelligence ( policy)
Introne,"Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( social media); Digital Innovation & Management ( crisis management); Human-Centered Technology and Design ( social justice, digital volunteerism, Open-Source Software Development); Where people meet Artificial Intelligence ( disinformation); Where people meet Artificial Intelligence ( improving the quality and trustworthiness of AI, workforce development)"
King,Computational Social Science ( Natural Language Processing); Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( data visualizations); Computational Social Science ( social media); Computational Social Science ( social network analysis); Digital Innovation & Management ( crisis management); Digital Innovation & Management ( management of information systems); Where people meet Artificial Intelligence ( disinformation)
Kingma,"Digital Innovation & Management ( Enterprise Architecture , entrepreneurship)"
Li,Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( social media); Computational Social Science ( social network analysis)
McKnight,"Cybersecurity, Privacy & Infrastructure ( mobile networks, IoT); Cybersecurity, Privacy & Infrastructure (Smart cities); Digital Innovation & Management ( crisis management, Enterprise Architecture , entrepreneurship)"
Modrow,Libraries and Cultural Informatics ( critical/ cultural studies of information); Libraries and Cultural Informatics ( digital humanities); Libraries and Cultural Informatics ()
Oakleaf,"Libraries and Cultural Informatics ( digital literacy); Libraries and Cultural Informatics ( learning analytics); Libraries and Cultural Informatics ( library assessment); Where people meet Artificial Intelligence ( improving the quality and trustworthiness of AI, workforce development)"
Oesterlund,Computational Social Science ( improved reasoning in intelligence analysis); Digital Innovation & Management ( change management); Digital Innovation & Management ( innovation and crowdsourcing); Digital Innovation & Management ( medical informatics); Digital Innovation & Management (Human-technology partnerships play an important role in all sorts of organizations from formal companies to crowdsourced settings. Focuses both on how technology shapes leadership and organizations and how management and organizations shape technology. Topics include: Digital transformation); Human-Centered Technology and Design ( ESG reporting and sustainability); Where people meet Artificial Intelligence ( AI and future of work); Where people meet Artificial Intelligence ( learning)
Park,"Cybersecurity, Privacy & Infrastructure ( Cybersecurity)"
Patin,Digital Innovation & Management ( crisis management); Libraries and Cultural Informatics ( black experience); Libraries and Cultural Informatics ( critical/ cultural studies of information); Libraries and Cultural Informatics ( digital humanities); Libraries and Cultural Informatics ( epistemicide and social justice); Libraries and Cultural Informatics ()
Qin,"Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( scientific knowledge management); Libraries and Cultural Informatics ( information quality, organization and access); Libraries and Cultural Informatics ( metadata)"
Saltz,"Computational Social Science ( Natural Language Processing); Computational Social Science ( and broad computational approaches to studying society); Computational Social Science (The iSchool’s distinctive excellence in this area lies in applying advanced computational methods to understand and address important societal and organizational problems. This includes the development of new computational methodologies in the social sciences and their application to pressing social, cultural, and political questions. Topics include: Organization of computational teams); Digital Innovation & Management ( Enterprise Architecture , entrepreneurship)"
Sawyer,"Digital Innovation & Management ( change management); Digital Innovation & Management ( distributed and mobile work); Digital Innovation & Management ( innovation and crowdsourcing); Digital Innovation & Management ( online communities, gig work and platforms); Where people meet Artificial Intelligence ( AI and future of work)"
Small,Libraries and Cultural Informatics ( intersectionality of disability and race)
Stanton,"Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( scientific knowledge management); Cybersecurity, Privacy & Infrastructure ( privacy); Digital Innovation & Management ( change management); Digital Innovation & Management (Human-technology partnerships play an important role in all sorts of organizations from formal companies to crowdsourced settings. Focuses both on how technology shapes leadership and organizations and how management and organizations shape technology. Topics include: Digital transformation)"
Stromer-Galley,Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( improved reasoning in intelligence analysis); Computational Social Science ( social media); Computational Social Science ( social network analysis); Where people meet Artificial Intelligence ( disinformation)
Tacheva,Computational Social Science ( and broad computational approaches to studying society); Computational Social Science ( social media); Computational Social Science ( social network analysis); Libraries and Cultural Informatics ( critical/ cultural studies of information); Libraries and Cultural Informatics ( epistemicide and social justice); Where people meet Artificial Intelligence ( disinformation)
Yu,"Computational Social Science ( Natural Language Processing); Computational Social Science ( scientific knowledge management); Libraries and Cultural Informatics ( metadata); Where people meet Artificial Intelligence ( improving the quality and trustworthiness of AI, workforce development)"
Zhang,Digital Innovation & Management ( management of information systems)
